prodvec,modelvec,newmodv,model_year,id,firmid,market,hpwt,space,air,mpd,price,mpg,quantity,share,share_out,year,domestic,japan,european
MCCOUG,MCCOUG,MCCOUG75,75,808,18,6,0.364683,1.7064,0,1.253729,9.00703,1.3,127.913,0.001725,0.87531,76,1,0,0
MCMARQ,MCMARQ,MCMARQ73,73,809,18,6,0.403587,1.832,0,1.253729,8.898067,1.3,105.149,0.001418,0.87531,76,1,0,0
ODSTRF,ODSTRF,ODSTRF75,75,810,19,6,0.367518,1.188,0,1.735932,6.822496,1.8,27.501,0.000371,0.87531,76,1,0,0
ODOMEG,ODOMEG,ODOMEG73,73,811,19,6,0.328536,1.46,0,1.639492,6.175747,1.7,56.324,0.00076,0.87531,76,1,0,0
ODCUTL,ODCUTL,ODCUTL75,75,813,19,6,0.284553,1.6632,0,1.639492,7.087873,1.7,514.593,0.006941,0.87531,76,1,0,0
ODDELT,ODDELT,ODDELT74,74,816,19,6,0.397289,1.816,0,1.350169,8.643234,1.4,170.857,0.002304,0.87531,76,1,0,0
OD98,OD98,OD9875,75,818,19,6,0.410101,1.864,0,1.253729,11.281195,1.3,107.147,0.001445,0.87531,76,1,0,0
ODTORN,ODTORN,ODTORN75,75,819,19,6,0.458032,1.824,0,1.157288,12.110721,1.2,24.189,0.000326,0.87531,76,1,0,0
PLARRO,PLARRO,PLARRO76,76,820,16,6,0.393365,1.0688,0,2.411017,5.579965,2.5,48.951,0.00066,0.87531,76,1,0,0
PLVALA,PLVALA,PLVALA72,72,822,16,6,0.327869,1.42,0,1.832373,5.757469,1.9,74.924,0.001011,0.87531,76,1,0,0
PLVOLA,PLVOLA,PLVOLA76,76,825,16,6,0.31348,1.4746,0,1.735932,5.903339,1.8,311.259,0.004198,0.87531,76,1,0,0
PLFURY,PLFURY,PLFURY75,75,828,16,6,0.275862,1.7082,0,1.735932,6.560633,1.8,97.063,0.001309,0.87531,76,1,0,0
PLGRNF,PLGRNF,PLGRNF76,76,831,16,6,0.362319,1.784,0,1.253729,7.643234,1.3,48.951,0.00066,0.87531,76,1,0,0
PTASTR,PTASTR,PTASTR76,76,832,19,6,0.287003,1.1748,0,2.025254,5.384886,2.1,41.148,0.000555,0.87531,76,1,0,0
PTSUNB,PTSUNB,PTSUNB76,76,833,19,6,0.263852,1.1616,0,2.025254,6.029877,2.1,50.07,0.000675,0.87531,76,1,0,0
PTVNTU,PTVNTU,PTVNTU72,72,835,19,6,0.336289,1.46,0,1.639492,5.906854,1.7,61.396,0.000828,0.87531,76,1,0,0
PTLEMA,PTLEMA,PTLEMA72,72,837,19,6,0.292553,1.6536,0,1.639492,6.70123,1.7,89.178,0.001203,0.87531,76,1,0,0
PTFIRB,PTFIRB,PTFIRB72,72,840,19,6,0.325155,1.4308,0,1.639492,6.864675,1.7,108.348,0.001461,0.87531,76,1,0,0
PTGRNP,PTGRNP,PTGRNP76,76,845,19,6,0.395257,1.6614,0,1.350169,8.432337,1.4,251.952,0.003398,0.87531,76,1,0,0
ARALFT,ARALFT,ARALFT76,76,1669,20,6,0.449814,1.1088,0,1.832373,12.891037,1.9,5.327,0.000072,0.87531,76,0,0,1
AD100L,AD100L,AD100L75,75,1670,7,6,0.363493,1.2972,0,1.928814,12.478032,2,11.553,0.000156,0.87531,76,0,0,1
ADFOX,ADFOX,ADFOX75,75,1671,7,6,0.380673,1.0899,0,2.314576,9.226714,2.4,21.763,0.000294,0.87531,76,0,0,1
BW2002,BW2002,BW200275,75,1672,8,6,0.402854,1.1088,0,1.735932,11.546573,1.8,16.123,0.000217,0.87531,76,0,0,1
BW530I,BW530I,BW530I75,75,1673,8,6,0.551724,1.273,1,1.44661,18.611599,1.5,6.606,0.000089,0.87531,76,0,0,1
CPSPCP,CPSPCP,CPSPCP76,76,1674,25,6,0.34222,1.1725,0,1.735932,7.235501,1.8,29.904,0.000403,0.87531,76,0,0,1
DTHLB2,DTHLB2,DTHLB275,75,1675,2,6,0.409836,0.9943,0,2.79678,5.70123,2.9,147.643,0.001991,0.87531,76,0,1,0
DTHL61,DTHL61,DTHL6176,76,1677,2,6,0.45929,1.0962,0,2.218136,7.485062,2.3,13.912,0.000188,0.87531,76,0,1,0
DTJHL7,DTJHL7,DTJHL774,74,1678,2,6,0.400689,1.0836,0,2.218136,6.676626,2.3,35.327,0.000476,0.87531,76,0,1,0
FT128,FT128,FT12876,76,1679,17,6,0.321244,0.9796,0,1.928814,5.940246,2,20.596,0.000278,0.87531,76,0,0,1
FT124S,FT124S,FT124S76,76,1681,17,6,0.394495,1.0304,0,1.735932,10.121265,1.8,11.721,0.000158,0.87531,76,0,0,1
FT131,FT131,FT13175,75,1682,17,6,0.362105,1.118,0,1.735932,7.787346,1.8,18.576,0.000251,0.87531,76,0,0,1
HDCIVI,HDCIVI,HDCIVI76,76,1685,3,6,0.322981,0.888,0,2.700339,4.796134,2.8,132.286,0.001784,0.87531,76,0,1,0
HDACCO,HDACCO,HDACCO76,76,1686,3,6,0.341194,1.0432,0,3.664746,7.02109,3.8,18.643,0.000251,0.87531,76,0,1,0
MZ1600,MZ1600,MZ160076,76,1688,4,6,0.292237,1.0458,0,2.025254,5.615114,2.1,6.34,0.000086,0.87531,76,0,1,0
MZRTYE,MZRTYE,MZRTYE76,76,1689,4,6,0.397112,1.1151,0,1.735932,8.602812,1.8,10.137,0.000137,0.87531,76,0,1,0
MB230,MB230,MB23075,75,1690,9,6,0.38374,1.337,0,1.639492,19.093146,1.7,1.248,0.000017,0.87531,76,0,0,1
MB240D,MB240D,MB240D74,74,1691,9,6,0.201626,1.337,0,2.218136,19.319859,2.3,7.359,0.000099,0.87531,76,0,0,1
MB300D,MB300D,MB300D75,75,1692,9,6,0.227474,1.372,1,2.121695,24.704745,2.2,9.544,0.000129,0.87531,76,0,0,1
MB280,MB280,MB28073,73,1693,9,6,0.381791,1.295,1,1.350169,25.12478,1.4,2.745,0.000037,0.87531,76,0,0,1
MB450S,MB450S,MB450S74,74,1694,9,6,0.456274,1.554,1,1.060847,36.360281,1.1,1.693,0.000023,0.87531,76,0,0,1
OP77,OP77,OP7776,76,1695,26,6,0.363901,1.0206,0,2.121695,5.768014,2.2,10.483,0.000141,0.87531,76,0,0,1
PG504,PG504,PG50476,76,1697,14,6,0.214592,1.2012,0,2.603898,14.094903,2.7,9.455,0.000128,0.87531,76,0,0,1
PSRDST,PSRDST,PSRDST76,76,1698,12,6,0.395294,1.053,0,1.928814,12.741652,2,3.181,0.000043,0.87531,76,0,0,1
PS911S,PS911S,PS911S74,74,1699,12,6,0.678186,1.0816,0,1.735932,24.332162,1.8,4.3,0.000058,0.87531,76,0,0,1
RNRIZT,RNRIZT,RNRIZT76,76,1700,24,6,0.342694,1.131,0,2.218136,6.852373,2.3,1.92,0.000026,0.87531,76,0,0,1
SA99GL,SA99GL,SA99GL76,76,1701,11,6,0.411765,1.1591,0,2.025254,11.420035,2.1,7.671,0.000103,0.87531,76,0,0,1
SBDL,SBDL,SBDL74,74,1702,5,6,0.285714,0.954,0,2.79678,5.885764,2.9,48.928,0.00066,0.87531,76,0,1,0
TYCORO,TYCORO,TYCORO76,76,1704,1,6,0.330396,1.0065,0,2.314576,5.778559,2.4,187.321,0.002527,0.87531,76,0,1,0
TYCORO,TYCORO,TYCORO76,76,1705,1,6,0.359848,1.1072,0,1.928814,7.080844,2,38.637,0.000521,0.87531,76,0,1,0
TYCELI,TYCELI,TYCELI71,71,1706,1,6,0.373281,1.1136,0,1.928814,7.28471,2,100.438,0.001355,0.87531,76,0,1,0
TYMARK,TYMARK,TYMARK76,76,1707,1,6,0.379613,1.1895,0,1.44661,10.165202,1.5,5.064,0.000068,0.87531,76,0,1,0
VWBEET,VWBEET,VWBEET74,74,1708,7,6,0.267442,0.976,0,2.121695,6.149385,2.2,27.009,0.000364,0.87531,76,0,0,1
VWDASH,VWDASH,VWDASH74,74,1709,7,6,0.357143,1.1072,0,2.314576,9.27065,2.4,27.715,0.000374,0.87531,76,0,0,1
VWRABB,VWRABB,VWRABB75,75,1710,7,6,0.379274,0.9984,0,2.79678,7.091388,2.9,112.056,0.001511,0.87531,76,0,0,1
VWSCIR,VWSCIR,VWSCIR76,76,1711,7,6,0.366546,0.9984,0,2.79678,8.778559,2.9,15.426,0.000208,0.87531,76,0,0,1
VV244,VV244,VV24475,75,1712,6,6,0.336964,1.2931,0,1.639492,11.59051,1.7,9.575,0.000129,0.87531,76,0,0,1
VV264,VV264,VV26476,76,1713,6,6,0.391332,1.2931,0,1.44661,14.850615,1.5,7.272,0.000098,0.87531,76,0,0,1
AMGREM,AMGREM,AMGREM77,77,855,15,7,0.312012,1.1857,0,1.97916,5.359736,2.1,38.071,0.000501,0.877889,77,1,0,0
AMHORN,AMHORN,AMHORN76,76,857,15,7,0.289951,1.3206,0,1.696423,5.691419,1.8,78.332,0.00103,0.877889,77,1,0,0
AMPACE,AMPACE,AMPACE75,75,859,15,7,0.278834,1.309,0,1.696423,6.021452,1.8,45.226,0.000595,0.877889,77,1,0,0
AMMATA,AMMATA,AMMATA72,72,860,15,7,0.263938,1.6848,0,1.413686,7.506601,1.5,22.325,0.000294,0.877889,77,1,0,0
BKSKYH,BKSKYH,BKSKYH75,75,862,19,7,0.374332,1.188,0,1.696423,6.569307,1.8,24.872,0.000327,0.877889,77,1,0,0
BKSKYL,BKSKYL,BKSKYL75,75,863,19,7,0.318568,1.4673,0,1.507932,6.311881,1.6,97.196,0.001278,0.877889,77,1,0,0
BKCENT,BKCENT,BKCENT75,75,865,19,7,0.284399,1.6906,0,1.507932,7.20132,1.6,279.657,0.003678,0.877889,77,1,0,0
BKLSAB,BKLSAB,BKLSAB76,76,870,19,7,0.299658,1.6863,0,1.602177,8.40429,1.7,187.519,0.002466,0.877889,77,1,0,0
BKELCT,BKELCT,BKELCT77,77,873,19,7,0.406397,1.7394,0,1.31944,11.330033,1.4,136.341,0.001793,0.877889,77,1,0,0
BKRIVE,BKRIVE,BKRIVE77,77,874,19,7,0.409619,1.7082,0,1.413686,12.141914,1.5,20.809,0.000274,0.877889,77,1,0,0
CDSEVI,CDSEVI,CDSEVI76,76,875,19,7,0.429389,1.4688,1,1.31944,22.044554,1.4,44.667,0.000587,0.877889,77,1,0,0
CDELDR,CDELDR,CDELDR75,75,877,19,7,0.363269,1.8,1,1.036703,18.460396,1.1,46.348,0.00061,0.877889,77,1,0,0
CVCHEV,CVCHEV,CVCHEV76,76,879,19,7,0.300316,0.9858,0,2.63888,4.948845,2.8,196.218,0.002581,0.877889,77,1,0,0
CVVEGA,CVVEGA,CVVEGA77,77,880,19,7,0.341602,1.1616,0,2.261897,5.361386,2.4,73.813,0.000971,0.877889,77,1,0,0
CVNOVA,CVNOVA,CVNOVA76,76,881,19,7,0.346566,1.4381,0,1.790669,5.828383,1.9,312.135,0.004105,0.877889,77,1,0,0
CVMONZ,CVMONZ,CVMONZ77,77,883,19,7,0.325581,1.188,0,2.261897,5.874587,2.4,83.413,0.001097,0.877889,77,1,0,0
CVMALI,CVMALI,CVMALI77,77,885,19,7,0.303197,1.617,0,1.696423,6.493399,1.8,296.193,0.003896,0.877889,77,1,0,0
CVCAMA,CVCAMA,CVCAMA75,75,888,19,7,0.326506,1.47,0,1.696423,6.787129,1.8,208.511,0.002742,0.877889,77,1,0,0
CVMNTC,CVMNTC,CVMNTC73,73,890,19,7,0.376428,1.6692,0,1.507932,8.19802,1.6,370.825,0.004877,0.877889,77,1,0,0
CVCORV,CVCORV,CVCORV75,75,896,19,7,0.522042,1.2834,0,1.31944,14.270627,1.4,42.571,0.00056,0.877889,77,1,0,0
CRLEBA,CRLEBA,CRLEBA77,77,897,16,7,0.407303,1.5111,0,1.225194,8.620462,1.3,70.037,0.000921,0.877889,77,1,0,0
CRCORD,CRCORD,CRCORD75,75,898,16,7,0.469716,1.677,0,1.036703,8.940594,1.1,142.619,0.001876,0.877889,77,1,0,0
DGCOLT,DGCOLT,DGCOLT72,72,901,16,7,0.401937,1.1008,0,2.733126,5.646865,2.9,70.679,0.00093,0.877889,77,1,0,0
DGASPE,DGASPE,DGASPE76,76,904,16,7,0.309119,1.4746,0,1.884914,5.991749,2,242.111,0.003184,0.877889,77,1,0,0
DGMONA,DGMONA,DGMONA77,77,907,16,7,0.300958,1.7082,0,1.602177,6.580858,1.7,91.807,0.001208,0.877889,77,1,0,0
DGCHRG,DGCHRG,DGCHRG77,77,910,16,7,0.372272,1.6848,0,1.225194,8.412541,1.3,29.099,0.000383,0.877889,77,1,0,0
DGDIPL,DGDIPL,DGDIPL77,77,911,16,7,0.407303,1.5111,0,1.413686,8.417492,1.5,40.072,0.000527,0.877889,77,1,0,0
FDPINT,FDPINT,FDPINT76,76,912,18,7,0.384782,1.183,0,2.450389,5.113861,2.6,220.775,0.002904,0.877889,77,1,0,0
FDMAVE,FDMAVE,FDMAVE77,77,915,18,7,0.332525,1.3277,0,1.97916,5.60231,2.1,167.841,0.002208,0.877889,77,1,0,0
FDMSTG,FDMSTG,FDMSTG77,77,917,18,7,0.338789,1.2425,0,2.167652,6.108911,2.3,170.659,0.002245,0.877889,77,1,0,0
FDGRNA,FDGRNA,FDGRNA77,77,919,18,7,0.302457,1.4652,0,1.97916,6.79538,2.1,355.186,0.004672,0.877889,77,1,0,0
FDLTD,FDLTD,FDLTD77,77,921,18,7,0.373247,1.808,0,1.225194,8.935644,1.3,380.499,0.005005,0.877889,77,1,0,0
FDLTDI,FDLTDI,FDLTDI77,77,922,18,7,0.412398,1.716,0,1.31944,8.036304,1.4,203.922,0.002682,0.877889,77,1,0,0
FDTHNB,FDTHNB,FDTHNB77,77,923,18,7,0.332736,1.7064,0,1.413686,8.354785,1.5,325.153,0.004277,0.877889,77,1,0,0
LCVERS,LCVERS,LCVERS77,77,924,18,7,0.27,1.5075,1,1.507932,18.976898,1.6,13.49,0.000177,0.877889,77,1,0,0
LCCONT,LCCONT,LCCONT77,77,925,18,7,0.366803,1.864,1,1.225194,15.90099,1.3,92.985,0.001223,0.877889,77,1,0,0
LCMARK,LCMARK,LCMARK77,77,926,18,7,0.384781,1.848,1,1.225194,18.805281,1.3,74.807,0.000984,0.877889,77,1,0,0
MCBOBC,MCBOBC,MCBOBC76,76,927,18,7,0.375686,1.183,0,3.487092,5.673267,3.7,35.481,0.000467,0.877889,77,1,0,0
MCCOME,MCCOME,MCCOME77,77,930,18,7,0.446982,1.3987,0,1.602177,5.968647,1.7,42.234,0.000555,0.877889,77,1,0,0
MCMONA,MCMONA,MCMONA77,77,932,18,7,0.302553,1.4652,0,1.97916,6.854785,2.1,10.682,0.00014,0.877889,77,1,0,0
MCCOUG,MCCOUG,MCCOUG77,77,934,18,7,0.333933,1.6848,0,1.413686,7.973597,1.5,182.986,0.002407,0.877889,77,1,0,0
MCMARQ,MCMARQ,MCMARQ73,73,935,18,7,0.399908,1.832,0,1.225194,9.069307,1.3,140.61,0.001849,0.877889,77,1,0,0
ODSTRF,ODSTRF,ODSTRF77,77,936,19,7,0.314371,1.188,0,2.261897,6.273927,2.4,19.12,0.000251,0.877889,77,1,0,0
ODOMEG,ODOMEG,ODOMEG73,73,939,19,7,0.332068,1.46,0,1.507932,6.265677,1.6,51.724,0.00068,0.877889,77,1,0,0
ODCUTL,ODCUTL,ODCUTL75,75,941,19,7,0.290216,1.6632,0,1.507932,7.239274,1.6,527.939,0.006944,0.877889,77,1,0,0
ODDELT,ODDELT,ODDELT77,77,944,19,7,0.302419,1.6786,0,1.602177,8.589109,1.7,225.937,0.002972,0.877889,77,1,0,0
OD98,OD98,OD9877,77,947,19,7,0.446546,1.7017,0,1.507932,11.19802,1.6,123.466,0.001624,0.877889,77,1,0,0
ODTORN,ODTORN,ODTORN75,75,948,19,7,0.431593,1.824,0,1.225194,13.422442,1.3,28.86,0.00038,0.877889,77,1,0,0
PLARRO,PLARRO,PLARRO76,76,949,16,7,0.393365,1.0688,0,2.450389,5.575908,2.6,47.345,0.000623,0.877889,77,1,0,0
PLVOLA,PLVOLA,PLVOLA76,76,951,16,7,0.309119,1.4746,0,1.884914,5.971947,2,304.305,0.004002,0.877889,77,1,0,0
PLFURY,PLFURY,PLFURY77,77,954,16,7,0.300958,1.7082,0,1.602177,6.508251,1.7,92.056,0.001211,0.877889,77,1,0,0
PLGRNF,PLGRNF,PLGRNF76,76,957,16,7,0.349819,1.784,0,1.225194,7.717822,1.3,31.692,0.000417,0.877889,77,1,0,0
PTASTR,PTASTR,PTASTR77,77,958,19,7,0.33871,1.1748,0,2.261897,5.453795,2.4,28.693,0.000377,0.877889,77,1,0,0
PTSUNB,PTSUNB,PTSUNB77,77,959,19,7,0.326822,1.1748,0,2.450389,6.037954,2.6,61.79,0.000813,0.877889,77,1,0,0
PTPHOE,PTPHOE,PTPHOE77,77,961,19,7,0.320611,1.4616,0,1.602177,6.80198,1.7,72.52,0.000954,0.877889,77,1,0,0
PTLEMA,PTLEMA,PTLEMA72,72,966,19,7,0.28862,1.6224,0,1.507932,6.755776,1.6,73.061,0.000961,0.877889,77,1,0,0
PTFIRB,PTFIRB,PTFIRB72,72,969,19,7,0.321691,1.4381,0,1.507932,7.046205,1.6,137.807,0.001813,0.877889,77,1,0,0
PTGRNP,PTGRNP,PTGRNP77,77,975,19,7,0.35489,1.7082,0,1.507932,8.448845,1.6,235.833,0.003102,0.877889,77,1,0,0
ARSPOR,ARSPOR,ARSPOR77,77,1714,20,7,0.416357,1.1072,0,1.790669,12.533003,1.9,5.505,0.000072,0.877889,77,0,0,1
AD100L,AD100L,AD100L75,75,1715,7,7,0.369626,1.2972,0,1.696423,11.79868,1.8,7.682,0.000101,0.877889,77,0,0,1
ADFOX,ADFOX,ADFOX75,75,1716,7,7,0.378641,1.0899,0,2.261897,9.156766,2.4,23.281,0.000306,0.877889,77,0,0,1
BW320I,BW320I,BW320I77,77,1717,8,7,0.415094,1.1392,0,1.884914,13.184818,2,19.519,0.000257,0.877889,77,0,0,1
BW530I,BW530I,BW530I75,75,1718,8,7,0.511628,1.273,0,1.31944,20.618812,1.4,7.239,0.000095,0.877889,77,0,0,1
CPSPOR,CPSPOR,CPSPOR77,77,1719,8,7,0.366096,1.1725,0,1.696423,7.216172,1.8,22.458,0.000295,0.877889,77,0,0,1
DTB210,DTB210,DTB21077,77,1721,2,7,0.416884,0.9943,0,2.733126,5.872937,2.9,173.281,0.002279,0.877889,77,0,1,0
DTHL71,DTHL71,DTHL7177,77,1722,2,7,0.399313,1.0836,0,2.167652,6.929043,2.3,24.192,0.000318,0.877889,77,0,1,0
DTF10S,DTF10S,DTF10S77,77,1723,2,7,0.383142,0.948,0,2.733126,6.021452,2.9,37.772,0.000497,0.877889,77,0,1,0
DTG810,DTG810,DTG81077,77,1724,2,7,0.45854,1.1895,0,1.602177,9.074257,1.7,28.244,0.000371,0.877889,77,0,1,0
HDCIVI,HDCIVI,HDCIVI76,76,1725,3,7,0.322981,0.888,0,2.63888,4.585809,2.8,147.648,0.001942,0.877889,77,0,1,0
HDACCO,HDACCO,HDACCO76,76,1728,3,7,0.348182,1.0432,0,3.581337,6.839934,3.8,75.985,0.000999,0.877889,77,0,1,0
FT128,FT128,FT12876,76,1729,17,7,0.321244,0.9796,0,2.167652,5.679868,2.3,16.732,0.00022,0.877889,77,0,0,1
FT131,FT131,FT13175,75,1731,17,7,0.362105,1.118,0,1.790669,7.531353,1.9,22.836,0.0003,0.877889,77,0,0,1
FTSPID,FTSPID,FTSPID75,75,1732,17,7,0.394495,1.0304,0,1.696423,10.090759,1.8,12.935,0.00017,0.877889,77,0,0,1
MB230,MB230,MB23075,75,1736,9,7,0.384365,1.337,0,1.602177,21.260726,1.7,4.173,0.000055,0.877889,77,0,0,1
MB240D,MB240D,MB240D74,74,1737,9,7,0.201299,1.337,0,2.356143,21.039604,2.5,10.548,0.000139,0.877889,77,0,0,1
MB300D,MB300D,MB300D75,75,1738,9,7,0.227474,1.337,1,2.167652,27.376238,2.3,11.619,0.000153,0.877889,77,0,0,1
MB280E,MB280E,MB280E77,77,1739,9,7,0.402349,1.3561,1,1.31944,28.240924,1.4,4.173,0.000055,0.877889,77,0,0,1
MB450S,MB450S,MB450S74,74,1740,9,7,0.458599,1.554,1,1.225194,41.651815,1.3,6.586,0.000087,0.877889,77,0,0,1
PGSL50,PGSL50,PGSL5077,77,1742,14,7,0.291391,1.1682,0,2.63888,12.145215,2.8,3.428,0.000045,0.877889,77,0,0,1
PG504D,PG504D,PG504D77,77,1743,14,7,0.226837,1.2078,0,2.63888,14.290429,2.8,4.914,0.000065,0.877889,77,0,0,1
PSCOUP,PSCOUP,PSCOUP77,77,1744,12,7,0.40529,1.1457,0,1.602177,15.5033,1.7,13.67,0.00018,0.877889,77,0,0,1
PSCP91,PSCP91,PSCP9177,77,1745,12,7,0.678186,1.0816,0,1.413686,24.744224,1.5,5.709,0.000075,0.877889,77,0,0,1
RNLECA,RNLECA,RNLECA77,77,1746,24,7,0.337648,0.852,0,2.356143,5.519802,2.5,10.208,0.000134,0.877889,77,0,0,1
RNGTL,RNGTL,RNGTL77,77,1747,24,7,0.338028,1.131,0,2.073406,7.343234,2.2,1.55,0.00002,0.877889,77,0,0,1
SA99GL,SA99GL,SA99GL76,76,1748,11,7,0.393258,1.1591,0,1.696423,11.382838,1.8,1.841,0.000024,0.877889,77,0,0,1
SBDL,SBDL,SBDL74,74,1749,5,7,0.330049,0.948,0,2.63888,5.773927,2.8,80.827,0.001063,0.877889,77,0,1,0
TYCORO,TYCORO,TYCORO77,77,1751,1,7,0.282238,1.023,0,3.392846,5.615512,3.6,259.344,0.003411,0.877889,77,0,1,0
VWRABB,VWRABB,VWRABB77,77,1753,7,7,0.211454,0.9984,0,3.675583,7.118812,3.9,164.706,0.002166,0.877889,77,0,0,1
TYCORO,TYCORO,TYCORO77,77,1754,1,7,0.359848,1.1072,0,1.97916,7.143564,2.1,50.259,0.000661,0.877889,77,0,1,0
TYCELI,TYCELI,TYCELI71,71,1755,1,7,0.375494,1.1136,0,1.97916,7.391089,2.1,163.714,0.002153,0.877889,77,0,1,0
VWBEET,VWBEET,VWBEET74,74,1756,7,7,0.24147,0.976,0,2.167652,6.10396,2.3,19.245,0.000253,0.877889,77,0,0,1
VWDASH,VWDASH,VWDASH74,74,1758,7,7,0.364486,1.1072,0,2.261897,9.074257,2.4,25.857,0.00034,0.877889,77,0,0,1
VWSCIR,VWSCIR,VWSCIR76,76,1759,7,7,0.376059,0.9984,0,2.733126,8.737624,2.9,24.786,0.000326,0.877889,77,0,0,1
VV244,VV244,VV24475,75,1760,6,7,0.343631,1.2931,0,1.696423,11.377888,1.8,11.268,0.000148,0.877889,77,0,0,1
VVGL26,VVGL26,VVGL2677,77,1761,6,7,0.388693,1.2931,0,1.413686,16.245875,1.5,9.428,0.000124,0.877889,77,0,0,1
AMGREM,AMGREM,AMGREM77,77,976,15,8,0.312989,1.2024,0,2.140896,5.81135,2.2,24.414,0.000316,0.877832,78,1,0,0
AMCONC,AMCONC,AMCONC78,78,978,15,8,0.290416,1.3248,0,1.946269,5.903374,2,116.043,0.001501,0.877832,78,1,0,0
AMPACE,AMPACE,AMPACE75,75,980,15,8,0.281514,1.3321,0,1.751642,6.208589,1.8,20.811,0.000269,0.877832,78,1,0,0
AMMATA,AMMATA,AMMATA78,78,984,15,8,0.322754,1.6425,0,1.557015,7.437117,1.6,9.471,0.000122,0.877832,78,1,0,0
BKSKYH,BKSKYH,BKSKYH75,75,986,19,8,0.392084,1.188,0,1.557015,6.358896,1.6,22.221,0.000287,0.877832,78,1,0,0
BKSKYL,BKSKYL,BKSKYL75,75,987,19,8,0.324675,1.4673,0,1.751642,6.319018,1.8,97.915,0.001266,0.877832,78,1,0,0
BKCNTS,BKCNTS,BKCNTS78,78,989,19,8,0.348374,1.4308,0,1.848955,6.932515,1.9,323.356,0.004182,0.877832,78,1,0,0
BKLSAB,BKLSAB,BKLSAB76,76,994,19,8,0.305321,1.7082,0,1.654328,8.490798,1.7,190.414,0.002462,0.877832,78,1,0,0
BKELCT,BKELCT,BKELCT77,77,997,19,8,0.41555,1.7394,0,1.459701,11.397239,1.5,121.705,0.001574,0.877832,78,1,0,0
BKRIVE,BKRIVE,BKRIVE77,77,998,19,8,0.418806,1.7082,0,1.459701,14.147239,1.5,25.753,0.000333,0.877832,78,1,0,0
CDSEVI,CDSEVI,CDSEVI76,76,999,19,8,0.406796,1.4688,1,1.362388,22.56135,1.4,55.721,0.000721,0.877832,78,1,0,0
CDELDR,CDELDR,CDELDR75,75,1002,19,8,0.366898,1.792,1,0.973134,19.019939,1,46.267,0.000598,0.877832,78,1,0,0
CVCHEV,CVCHEV,CVCHEV78,78,1004,19,8,0.309582,1.0106,0,2.919403,5.773006,3,247.088,0.003195,0.877832,78,1,0,0
CVNOVA,CVNOVA,CVNOVA76,76,1005,19,8,0.346675,1.4381,0,1.751642,5.792945,1.8,248.214,0.00321,0.877832,78,1,0,0
CVMONZ,CVMONZ,CVMONZ77,77,1007,19,8,0.334821,1.1748,0,1.848955,5.570552,1.9,158.127,0.002045,0.877832,78,1,0,0
CVMALI,CVMALI,CVMALI78,78,1010,19,8,0.316035,1.3896,0,1.848955,6.562883,1.9,374.124,0.004838,0.877832,78,1,0,0
CVCAMA,CVCAMA,CVCAMA75,75,1013,19,8,0.333333,1.485,0,1.751642,6.769939,1.8,260.201,0.003365,0.877832,78,1,0,0
CVMNTC,CVMNTC,CVMNTC78,78,1015,19,8,0.345395,1.4472,0,1.557015,7.338957,1.6,355.058,0.004591,0.877832,78,1,0,0
CVCORV,CVCORV,CVCORV78,78,1023,19,8,0.543958,1.2834,0,1.362388,14.792945,1.4,42.247,0.000546,0.877832,78,1,0,0
CRLEBA,CRLEBA,CRLEBA78,78,1024,16,8,0.323529,1.5318,0,1.654328,7.760736,1.7,125.558,0.001624,0.877832,78,1,0,0
CRCORD,CRCORD,CRCORD78,78,1026,16,8,0.385572,1.6848,0,1.362388,8.912577,1.4,105.442,0.001364,0.877832,78,1,0,0
CRNEWP,CRNEWP,CRNEWP72,72,1027,16,8,0.426009,1.824,0,1.070448,9.030675,1.1,67.892,0.000878,0.877832,78,1,0,0
DGOMNI,DGOMNI,DGOMNI78,78,1029,16,8,0.34965,1.1055,0,2.432836,6.09816,2.5,89.497,0.001157,0.877832,78,1,0,0
DGCOLT,DGCOLT,DGCOLT72,72,1030,16,8,0.379147,0.9943,0,3.308657,6.377301,3.4,44.066,0.00057,0.877832,78,1,0,0
DGASPE,DGASPE,DGASPE76,76,1033,16,8,0.314961,1.4948,0,1.946269,5.998466,2,157.308,0.002034,0.877832,78,1,0,0
DGMONA,DGMONA,DGMONA77,77,1036,16,8,0.302613,1.7004,0,1.654328,6.662577,1.7,37.594,0.000486,0.877832,78,1,0,0
DGCHLN,DGCHLN,DGCHLN78,78,1040,16,8,0.328542,1.2144,0,2.82209,9.280675,2.9,17.825,0.000231,0.877832,78,1,0,0
DGDIPL,DGDIPL,DGDIPL78,78,1041,16,8,0.31746,1.5318,0,1.654328,7.955521,1.7,60.656,0.000784,0.877832,78,1,0,0
FDFIES,FDFIES,FDFIES78,78,1043,18,8,0.391924,0.9176,0,3.308657,6.351227,3.4,76.145,0.000985,0.877832,78,1,0,0
FDPINT,FDPINT,FDPINT76,76,1044,18,8,0.379147,1.19,0,2.432836,4.814417,2.5,167.88,0.002171,0.877832,78,1,0,0
FDFRMO,FDFRMO,FDFRMO78,78,1047,18,8,0.337165,1.3774,0,2.238209,5.690184,2.3,405.78,0.005247,0.877832,78,1,0,0
FDMUST,FDMUST,FDMUST74,74,1050,18,8,0.337423,1.2425,0,2.238209,5.865031,2.3,199.76,0.002583,0.877832,78,1,0,0
